Author,Comment,Comment_casefolded
@azizahmutia6386,Ini masih gantung ga si ka nadd... Soalny kynya blm tau drmana sosok itu dan knp bisa tau si tiara bahkan dr msh kecil. Mksdny kaya asal usul ny si sosok yg lbh jls lg gitu lhoo🙏🤏,ini masih gantung ga si ka nadd... soalny kynya blm tau drmana sosok itu dan knp bisa tau si tiara bahkan dr msh kecil. mksdny kaya asal usul ny si sosok yg lbh jls lg gitu lhoo🙏🤏
@Fredyvpamelen,Itu benar permah  terjadi pada diriku sejak kelas dua sd . Berapa kali aku di ajak  ke kota dunia mereka yg sangat mewah. Dan sekarang mereka menjumpai  aku kala aku sakit.,itu benar permah  terjadi pada diriku sejak kelas dua sd . berapa kali aku di ajak  ke kota dunia mereka yg sangat mewah. dan sekarang mereka menjumpai  aku kala aku sakit.
@ZakiaNastriana,ceritanya hampir sama yang kayak aku alamin🥺,ceritanya hampir sama yang kayak aku alamin🥺
@kknyzk,"SERUUU ANJIRR, baru nonton sekarang 😭","seruuu anjirr, baru nonton sekarang 😭"
@ker204,Dia berselikuh weee astagfirullah ke bukkan nyata 😅😅😅,dia berselikuh weee astagfirullah ke bukkan nyata 😅😅😅
@NajwaSaadah,Itu anaknya Tiara mirip genderuwo?,itu anaknya tiara mirip genderuwo?
@DindaAgusTiantie,Takut bngetttt 😭😭😭😭😭,takut bngetttt 😭😭😭😭😭
@putriAyu-p8t,"Manggu❌
Mang goib ✅","manggu❌
mang goib ✅"
@matcha_CH_w18,Cerita kita sulit dj cerna tak lagi sama cara berdoa,cerita kita sulit dj cerna tak lagi sama cara berdoa
@putriAyu-p8t,"Manggu❌
Mang goib ✅","manggu❌
mang goib ✅"
@putriAyu-p8t,"Manggu❌
Mang goib ✅","manggu❌
mang goib ✅"
@TikaAyu-d2z,😢 secinta itu ya sosok itu....di dunia nyata mana adaaa😭,😢 secinta itu ya sosok itu....di dunia nyata mana adaaa😭
@nauraramadani-st8fb,"""mangu"" tapi bukan beda agama tapi beda ""ALAM"" 😊 tapi emang kisah emang epic bangat bisa gk si di buat film gk sih...","""mangu"" tapi bukan beda agama tapi beda ""alam"" 😊 tapi emang kisah emang epic bangat bisa gk si di buat film gk sih..."
@ayambakarronaldowati,Aku pernah jugak mimpi kek gini sampai hubungan badan alhamdulillah aku udah di rukiah sampe sekarang aku udah gk mimpi lagi😭,aku pernah jugak mimpi kek gini sampai hubungan badan alhamdulillah aku udah di rukiah sampe sekarang aku udah gk mimpi lagi😭
@tiaratambunan8435,"Aku jga dlu srg mimpi pria ganteng yg ga ku knal, srg bawak aku ke laut yg indah banget, dn dia bilang ga mau pergi dari aku..
Tapi aku sllu mengusir nya, sambil bilang aku ga knal sama mu, pergilah dn jgn ganggu aku lagi.
Dn mudah² an skrg aku ga prnh mimpi dia lagi,","aku jga dlu srg mimpi pria ganteng yg ga ku knal, srg bawak aku ke laut yg indah banget, dn dia bilang ga mau pergi dari aku..
tapi aku sllu mengusir nya, sambil bilang aku ga knal sama mu, pergilah dn jgn ganggu aku lagi.
dn mudah² an skrg aku ga prnh mimpi dia lagi,"
@rezafahlevi4788,Y,y
@PurnamaYanti-n7k,"Aku mengalami itu kak nad sampe sekarang bedanya, aku mimpi di kejar ular trus ular itu malah di patuknya orang lain nah orang yg aku liat di mimpiku besoknya meninggal, sampe sekarang aku cuma diem terganggu tidurku terganggu sekali udah kuupacarai ga ada habisnya","aku mengalami itu kak nad sampe sekarang bedanya, aku mimpi di kejar ular trus ular itu malah di patuknya orang lain nah orang yg aku liat di mimpiku besoknya meninggal, sampe sekarang aku cuma diem terganggu tidurku terganggu sekali udah kuupacarai ga ada habisnya"
@lexsanalica1539,Dunia kita berbeda...,dunia kita berbeda...
@MarenNisa,"Hai kak aku prnh mimpi kek gini tapi di mimpi itu aku berhubungan badan berturut turut smpe seperti merasakan kenikmatan itu pdhl aku mimpi,setelah dri situ aku tidak mimpi lagi tapi aku malah mimpi menikah di dlm kamarku dgn lelaki gemuk badan nya besar dan akhirnya aku mengambil cincin yg dia kasih setelah dri situ aku cerita sama orang tua ku aku takuttt😭","hai kak aku prnh mimpi kek gini tapi di mimpi itu aku berhubungan badan berturut turut smpe seperti merasakan kenikmatan itu pdhl aku mimpi,setelah dri situ aku tidak mimpi lagi tapi aku malah mimpi menikah di dlm kamarku dgn lelaki gemuk badan nya besar dan akhirnya aku mengambil cincin yg dia kasih setelah dri situ aku cerita sama orang tua ku aku takuttt😭"
@mohammadfarid2932,"mbak tiara knpa kali kau gak gercep datang ke ustadz atau orang yang mengerti agama waktu kau awal mimpi di datangi pria itu, knp kek betah kali kau wak😢 kasian aku denger crita nya😢","mbak tiara knpa kali kau gak gercep datang ke ustadz atau orang yang mengerti agama waktu kau awal mimpi di datangi pria itu, knp kek betah kali kau wak😢 kasian aku denger crita nya😢"
@nitarahmawati9604,"kok aku pernah denger cerita semacam ini di rjl 5. tapi orang indo yang ngalamin. mirip tapi bedanya, 3 anak itu hidup di dunia nyata dan mirip lelaki yg dimimpikan. 
nah terus yg dimimpikan nya selama ini itu berhubungan badan, gak cuma ngajak pergi doang.","kok aku pernah denger cerita semacam ini di rjl 5. tapi orang indo yang ngalamin. mirip tapi bedanya, 3 anak itu hidup di dunia nyata dan mirip lelaki yg dimimpikan. 
nah terus yg dimimpikan nya selama ini itu berhubungan badan, gak cuma ngajak pergi doang."
@juliatiekaprasetiawati1274,Sampe aku bayangin istananya dong..,sampe aku bayangin istananya dong..
@syaifulkalee7920,Aku datang dari 2025,aku datang dari 2025
@arere2734,SULIT DICERNA TAK LAGI SAMA CARA BERDOA🙇,sulit dicerna tak lagi sama cara berdoa🙇
@dstymsdlf24,seremmm ih di sukainnn jin🥲🥲🥲🥲,seremmm ih di sukainnn jin🥲🥲🥲🥲
@ArsyianiIzza,ihh aku pernah mimpi kayak gini tapi kayak cuma pacaran doang. dan mimpinya udah berkali-kali dengan jarak yang agak lama😮😢,ihh aku pernah mimpi kayak gini tapi kayak cuma pacaran doang. dan mimpinya udah berkali-kali dengan jarak yang agak lama😮😢
@sukasukakulah21,"Gimana gimana? Umur tiara skrg 28thn (2023), tahun 2003 udh 10 tahun, tiara bs skip ultahnya ato tiara pembohong?","gimana gimana? umur tiara skrg 28thn (2023), tahun 2003 udh 10 tahun, tiara bs skip ultahnya ato tiara pembohong?"
@AmaHanif,"Baru dengerin cerita tiara ini yg jadi pertanyaanku apakah tiara sama sekali tdk ada rasa curiga bahwa yg dia mimpikan itu jin, jin dan manusia tdk bs bersatu krn beda alam, salah satu cara mutusin hubungan itu ya di ruqyah syar'iyyah, mendekat pada Allah (sholat 5 waktu, sunnah, zikiri pagi sore baca qur'an), semuanya istiqomah. Bs juga dgn pendekatan psikologi kayak ustadz faizar. Kmren kayak ada di podcast densu kayak tiara ini dia juga di cintai jin dan sampai melakukan hubungan suami istri juga waktu di ruqyah kluar tanah. Coba deh tiara kamu ber obat apa ga kasihan sama suami dan anak2mu, masalah anak biar lbh yakin tes dna aja aku yakin itu anak suaminya (jangan mau di tipu daya jin/syaitan) jika dia baik pasti dia akan merelakan kamu nikah dgn sesama manusia","baru dengerin cerita tiara ini yg jadi pertanyaanku apakah tiara sama sekali tdk ada rasa curiga bahwa yg dia mimpikan itu jin, jin dan manusia tdk bs bersatu krn beda alam, salah satu cara mutusin hubungan itu ya di ruqyah syar'iyyah, mendekat pada allah (sholat 5 waktu, sunnah, zikiri pagi sore baca qur'an), semuanya istiqomah. bs juga dgn pendekatan psikologi kayak ustadz faizar. kmren kayak ada di podcast densu kayak tiara ini dia juga di cintai jin dan sampai melakukan hubungan suami istri juga waktu di ruqyah kluar tanah. coba deh tiara kamu ber obat apa ga kasihan sama suami dan anak2mu, masalah anak biar lbh yakin tes dna aja aku yakin itu anak suaminya (jangan mau di tipu daya jin/syaitan) jika dia baik pasti dia akan merelakan kamu nikah dgn sesama manusia"
@enithegranny3330,Nonton lagi dan masih seru. Kalo dibuat film seru bgt nih,nonton lagi dan masih seru. kalo dibuat film seru bgt nih
@menggapaiimpian4377,"Itu jin, bahaya nanti di Akhirat","itu jin, bahaya nanti di akhirat"
@DIAHfitaloka-nc7my,"Yaa Allah ,,demi Allah ini memng aneh KK nad,,aku jga pernah mengalami mimpi TPI seolah"" nyata TPI jujur aku jga terheran"" knpa aku mimpi gitu,,d dlm mimpiku aku bertemu dengn lki"" tmpan bngeet umur,nya kisaran 20/ 22 an dan pda waktu itu umurku sdah 27   an,,dia 3 kli Dateng ke mimpiku dan dia berulang"" kli ingin menikahi ku,,TPI d situ aku tak mauu,,karna aku tak mengenal siapa dia,,d dlm mimpi itu aku menolak Trang""an dia dan dia kelihatan skli kecewanya,,TPI anehnya d dunia nyatapun aku pernah menolak 3 kli lamaran seorang pria,,karna dia msih terlalu mudah tuk ukuran aku KK nad,, dan knpa aku anggap mimpi itu aneh,,karna waktu aku menolak orang yg melamarku d dlm mimpi dan dia berkata aku akan jdi prawan tua ,,dan ternyata kata"" yg d ucapkan dia bner,,jujur aku menikah d usiaku yg sdah berkepala 30 an mla 31 lbih 6 bulan,,,jujur d saat aku blm menemukan jodoh aku selalu teringeet akan kata"" laki"" yg ada dlm mimpiku itu,,dan sejujurnya aku menemukan jodoh setelah aku d mandikan sama orang pinter yg mengerti akan hal goib,,,dan apa kaya beliau,,,jodohnya d kawinkan d batu nisan,,,yaa Allah memng bnar kak nad pernah ada seorang pinter yg bilng ke ibuku klu aku hrus d rukiah,,TPI ibuku tak percya akan hal aneh"" ,,menurut orang pintar klu d lihat wajah aku seperti nenek umur 70 atau 80 Thun kak nad,,,itah mengapa aku percya akan mimpi yg Tiara alami,,
Maaf aku jdi bnyak cerita dan maaf jga aku Bru mengikuti KK nadia Bru seminggu yg lalu,,,jujur aku sukaa bngeet SMA canel kak Nadia,,,trima ksih sdah menyuguhkan cerita"" yg sangat menarik dan kak Nadia membwaka
nnya tidak membosankan,,trima ksih jga tuk ceritanya tentang misteri karna aku suka bngeet,,,trima ksih semoga KK sehat selalu dan dlm lindungan Allah SWT,,,🙏🙏","yaa allah ,,demi allah ini memng aneh kk nad,,aku jga pernah mengalami mimpi tpi seolah"" nyata tpi jujur aku jga terheran"" knpa aku mimpi gitu,,d dlm mimpiku aku bertemu dengn lki"" tmpan bngeet umur,nya kisaran 20/ 22 an dan pda waktu itu umurku sdah 27   an,,dia 3 kli dateng ke mimpiku dan dia berulang"" kli ingin menikahi ku,,tpi d situ aku tak mauu,,karna aku tak mengenal siapa dia,,d dlm mimpi itu aku menolak trang""an dia dan dia kelihatan skli kecewanya,,tpi anehnya d dunia nyatapun aku pernah menolak 3 kli lamaran seorang pria,,karna dia msih terlalu mudah tuk ukuran aku kk nad,, dan knpa aku anggap mimpi itu aneh,,karna waktu aku menolak orang yg melamarku d dlm mimpi dan dia berkata aku akan jdi prawan tua ,,dan ternyata kata"" yg d ucapkan dia bner,,jujur aku menikah d usiaku yg sdah berkepala 30 an mla 31 lbih 6 bulan,,,jujur d saat aku blm menemukan jodoh aku selalu teringeet akan kata"" laki"" yg ada dlm mimpiku itu,,dan sejujurnya aku menemukan jodoh setelah aku d mandikan sama orang pinter yg mengerti akan hal goib,,,dan apa kaya beliau,,,jodohnya d kawinkan d batu nisan,,,yaa allah memng bnar kak nad pernah ada seorang pinter yg bilng ke ibuku klu aku hrus d rukiah,,tpi ibuku tak percya akan hal aneh"" ,,menurut orang pintar klu d lihat wajah aku seperti nenek umur 70 atau 80 thun kak nad,,,itah mengapa aku percya akan mimpi yg tiara alami,,
maaf aku jdi bnyak cerita dan maaf jga aku bru mengikuti kk nadia bru seminggu yg lalu,,,jujur aku sukaa bngeet sma canel kak nadia,,,trima ksih sdah menyuguhkan cerita"" yg sangat menarik dan kak nadia membwaka
nnya tidak membosankan,,trima ksih jga tuk ceritanya tentang misteri karna aku suka bngeet,,,trima ksih semoga kk sehat selalu dan dlm lindungan allah swt,,,🙏🙏"
@RahmaNuraeni-v7k,Dunya kita berbeda,dunya kita berbeda
@endiatisudjana,Tiara menikah dg seorg dari dunia bunian.di Malaysia emang sering terjdi kisah seperti ini😊,tiara menikah dg seorg dari dunia bunian.di malaysia emang sering terjdi kisah seperti ini😊
@arisrico,romantis kali aku suka kali kak nadia,romantis kali aku suka kali kak nadia
@ardhirismawan3120,Hrus ada part2 hikssss,hrus ada part2 hikssss
@VisualSpot,"Tiaraa astagfirullah ko mw sampe diajak "".....""semoga kita dijauhkan dari tipu muslihat jin dan setan yg sungguh sangat dahsyat kita semua pasti selalu berada dibawah perlindungan Allah yg maha esa.aamiin","tiaraa astagfirullah ko mw sampe diajak "".....""semoga kita dijauhkan dari tipu muslihat jin dan setan yg sungguh sangat dahsyat kita semua pasti selalu berada dibawah perlindungan allah yg maha esa.aamiin"
@TigaPuluhlima-d7i,Seru bngt klau nadia cerita,seru bngt klau nadia cerita
@ameliaagustina2049,Lebih sakit cinta beda alam ketimbang beda agama,lebih sakit cinta beda alam ketimbang beda agama
@ameliaagustina2049,Ternyata lebih berat cinta beda alam ketimbang beda agama,ternyata lebih berat cinta beda alam ketimbang beda agama
@Rohimah-m6e,Bagus kalo dibuat film,bagus kalo dibuat film
@Herman-f4c,"Sepsnjang nonton cuma bisa bilang ""apa coba tiara""😌😌","sepsnjang nonton cuma bisa bilang ""apa coba tiara""😌😌"
@anismardhatillah1671,"Bikin cerita fantasi kak nad. Seru juga kayaknya kalo kak nadia cerita fantasi. Karangan kak nadia dan team, atau juga bisa dari teman2.","bikin cerita fantasi kak nad. seru juga kayaknya kalo kak nadia cerita fantasi. karangan kak nadia dan team, atau juga bisa dari teman2."
@AstutyTan,"""Kau disana aku di seberang mu"" 😭","""kau disana aku di seberang mu"" 😭"
@idaayumadeolsen5337,Ha ha seru cerita nya ❤😂 mbak mimin nya nge gass kalau bilang ngan nteng banget 🤩🤣🙏✌️❤,ha ha seru cerita nya ❤😂 mbak mimin nya nge gass kalau bilang ngan nteng banget 🤩🤣🙏✌️❤
@mbakeva3135,"1 yg ad d pikiranku skrg 
Kasian sm suami ny tiara","1 yg ad d pikiranku skrg 
kasian sm suami ny tiara"
@nisamaulida1926,"sumpah ini cerita seru bgtt, campur aduk rasanya pas dengerin antara kesel, terharu, baper.","sumpah ini cerita seru bgtt, campur aduk rasanya pas dengerin antara kesel, terharu, baper."
@muhsyahril9894,Make tuh si tiara,make tuh si tiara
@Jeinrati,Aku suka kkak ❤❤,aku suka kkak ❤❤
@firdaussuhaimi1359,"Setau sy, mungkin org bunian itu kak nadia","setau sy, mungkin org bunian itu kak nadia"
@yunimt9162,Kok aneh ya… klian kok pd pecaya sm cerita ini.. Klo emng nyata adanya! 😒,kok aneh ya… klian kok pd pecaya sm cerita ini.. klo emng nyata adanya! 😒
@yesisilvia341,Nnton yg ke sekian kali nya di tahun 2025 🙌🏻,nnton yg ke sekian kali nya di tahun 2025 🙌🏻
@Jihanisrina-xs7st,Pengen tau kabar anak kembarnya butuh part 2 ga sihh😢😢😢😢,pengen tau kabar anak kembarnya butuh part 2 ga sihh😢😢😢😢
@Carwiti-dx3dg,Kalo ikut di pangeran dari awal gimana yah?,kalo ikut di pangeran dari awal gimana yah?
@Carwiti-dx3dg,Pangeran bilek:😂😭,pangeran bilek:😂😭
@fenifauziah8525,Ini kah cerita kak SUCI yang di denny sumargo,ini kah cerita kak suci yang di denny sumargo
@putriaja611,Agak ga logis 😢,agak ga logis 😢
@deardyndy,"bru nonton di 2025 gpp kan,, gw tiap mimpi ketemu orng trus mukanya jelas pasti ngrasa janggal aneh aja gitu,, jadi gw kalo mimpi tuh kaya feeling doang😭 kaya gw di mimpi ketemu orng mukanya ga jelas tapi gw punya ingatan ntah orang papasan ntah ketemu sekedar kenalan gitu tapi di rl kdng kebawa mimpi tapi emng di mimpi tuh ketemu orng gajelas blur gitu orngnya jadi sebenernya kaya lagi ngarang aja😭","bru nonton di 2025 gpp kan,, gw tiap mimpi ketemu orng trus mukanya jelas pasti ngrasa janggal aneh aja gitu,, jadi gw kalo mimpi tuh kaya feeling doang😭 kaya gw di mimpi ketemu orng mukanya ga jelas tapi gw punya ingatan ntah orang papasan ntah ketemu sekedar kenalan gitu tapi di rl kdng kebawa mimpi tapi emng di mimpi tuh ketemu orng gajelas blur gitu orngnya jadi sebenernya kaya lagi ngarang aja😭"
@ThaniaaInithania,Kok aku pengen🤭,kok aku pengen🤭
@aritriastuti2052,KHW= Kisah Halu Wawak,khw= kisah halu wawak
@hendriyati6799,"Assalamu'alaikum nak Nadia beserrta team dan klrga.. 😊🙏
Saya ibu Hendriyati dari kota  TanjungPinang provinsi Kepulauan Riau menyapa... 😊🙏🙏
Mnrt sy crta ini sgt epik sekali, dimana Tiara bermimpi didatangi seorang pria yg tampan dan mengajak Tiara utk berkunjung kermh klrga pria tsb. Awalnya Tiara bingung krna dia tak mengensl pria tsb. Didlm mimpi tsb, Tiara ingin berpamitsnn dulu kpd neneknya agar neneknya tau klu Tiara pergi dgn pria tsb, alih2 neneknya muncul didepan pintu dan melihat pria tab, lgsg neneknya marah2 kpd pria tsb, dia mengatakan klu Tiara tdk boleh pergi dgn pria tsb. Nenek Tiara mengusir pria tsb. Wktu itu Tiara msh berumur 10 thn.. Pada saat Tiara berumur 12 thn, dia memimpikan hal yg sm. Pria tsb dtg lg dlm mimpi Tiara dan mengajak Tiara lg untuk pergi kermh klrganya lg tpditolak oleh Tiara. Menjelang menikah, Tiara dimimpikan lg kedatangan pria tampan  tsb. tp setelah mrniksh, Tiara tdk dimimpikan lg dgn sosok tsb. Tiarapun jadi tenang, krna tidak dimimpikan sosok tampan itu lg. Tp wktu Tiara hamil snak pertama, sosok tsb muncul lg, tp wajahnya sgt murung/sedih, krna Tiara menikah dgn org lain, bukan dgn dirinya. Pria tsb dtg dlm mimpi Tiara dgn baju yg lusuh,baju  dibagiann bahunya robek, Bgtu Tiara tersadar dari mimpinya, ia berteriak kpd susminya krna melihat darah yg bnyk sekaliyv kslhar dari daerah intimnya, Tiara dinyatskan keguguran oleh dokter yg menanganinya. bgtu juga kehamilan yg ke 2 dan ke 3,,Tars mengalami keguguran smpi 3x.
Akhirnya diputuskanlah urk liburan kermhmama dan nene Tiara. Wktu itu jam 11 mlm, Tiarapun betkemas2 spya besok pagi bisa brgkt awalkermh nenek daninunya yg lumayan kauh yg lumayan jauh, sekitar 23 km dari rmh Tiara. Sewsktu  Tiara betkemas, dia ketiduran dan bermimpi sosok laki2 tsb dtg lg dlm mimpinya dan mengajsk Tiara utk mendatsngi kmpngnya, pada saat itu Tiara pemasaran dgn pria tsb, akhirnya diapun setuju utk ikut dgn peis tsb.. Singkat crta, plngnya Tuara melihat air terjun dan pria tsb melihat klu Tiara menyukai air terjun tsb, lalu dia bertanys kpd Tiiara, apakah Tiara mau mampir ke air terjun tsb, Tiarapun menganggukksn kwpalanya. Air terjuntsb sgt jernih, Tiarapun lgsg terjun ke air tsb srnentara pria tsb hanya menunggu diatas batu,. kemudian Tiara menarik tgn pria tdb, akhirnya mrkapun sm2 teenun didlm air dan kemudian mrka melamukan hubungan intim didlm air tsb, hingga Tiarapun hsmil. Sementara dirmh, suaminya kehilangan Tiara, bingung setengah mati, kemudian dia menelpin ibu dan nenek Tiara, mrkapun semua pada bingung. Entah bagaimana vrtanya, Tiara smpi kermh neneknya yg jauhnya 23 km tsb.dlm keadaanbasah kuyub sekujur tubuhnya... Kemudian Tiara dibawa kermh sakit dan Tiara dinyatakan sedang hamil 3 minggu, anaknya kembar pula.. Ternyata Tiara sudah menghilang selama 8 hari , pdhal Tiara pergi cuma sbntr saja resanya...Anehnya suami Tiara bermimpi klh Tiara dibawa oleh pria tampan tsb entah kmna.... ada ksin kuning dsn jijau ktnya.. Tiarra terdiam krna tkt mau barterus tersng  kpd suaminta... 
Akhirnya anak kembar Tiarapun lahir, wajahnya mirip sosok pria tampan tsb. Yg ssya herankan wktu Tiara keguguran  3X tsb, kok anaknya bisa hidup ya? pdhal kan blm wktunya lahir? 
Semoga Tiara bisa hidup bahagia bersama suami tercintanya dan selalu dlm lindungan Allaah SWT.... Aamiin yaa Rabbal Aalaamiin.... 🤲🙏🙏😊
Buat nak Nadia beserta team dan klrga, tetap semangat ya, diberi kesehata yg baik, dibukakan pi tu rezeki ygluas dsn srlalu dlm lindungan Allaah SWT.... Aamiin yaa Rabbal Aalaamiin..... 🤲🙏💪😊","assalamu'alaikum nak nadia beserrta team dan klrga.. 😊🙏
saya ibu hendriyati dari kota  tanjungpinang provinsi kepulauan riau menyapa... 😊🙏🙏
mnrt sy crta ini sgt epik sekali, dimana tiara bermimpi didatangi seorang pria yg tampan dan mengajak tiara utk berkunjung kermh klrga pria tsb. awalnya tiara bingung krna dia tak mengensl pria tsb. didlm mimpi tsb, tiara ingin berpamitsnn dulu kpd neneknya agar neneknya tau klu tiara pergi dgn pria tsb, alih2 neneknya muncul didepan pintu dan melihat pria tab, lgsg neneknya marah2 kpd pria tsb, dia mengatakan klu tiara tdk boleh pergi dgn pria tsb. nenek tiara mengusir pria tsb. wktu itu tiara msh berumur 10 thn.. pada saat tiara berumur 12 thn, dia memimpikan hal yg sm. pria tsb dtg lg dlm mimpi tiara dan mengajak tiara lg untuk pergi kermh klrganya lg tpditolak oleh tiara. menjelang menikah, tiara dimimpikan lg kedatangan pria tampan  tsb. tp setelah mrniksh, tiara tdk dimimpikan lg dgn sosok tsb. tiarapun jadi tenang, krna tidak dimimpikan sosok tampan itu lg. tp wktu tiara hamil snak pertama, sosok tsb muncul lg, tp wajahnya sgt murung/sedih, krna tiara menikah dgn org lain, bukan dgn dirinya. pria tsb dtg dlm mimpi tiara dgn baju yg lusuh,baju  dibagiann bahunya robek, bgtu tiara tersadar dari mimpinya, ia berteriak kpd susminya krna melihat darah yg bnyk sekaliyv kslhar dari daerah intimnya, tiara dinyatskan keguguran oleh dokter yg menanganinya. bgtu juga kehamilan yg ke 2 dan ke 3,,tars mengalami keguguran smpi 3x.
akhirnya diputuskanlah urk liburan kermhmama dan nene tiara. wktu itu jam 11 mlm, tiarapun betkemas2 spya besok pagi bisa brgkt awalkermh nenek daninunya yg lumayan kauh yg lumayan jauh, sekitar 23 km dari rmh tiara. sewsktu  tiara betkemas, dia ketiduran dan bermimpi sosok laki2 tsb dtg lg dlm mimpinya dan mengajsk tiara utk mendatsngi kmpngnya, pada saat itu tiara pemasaran dgn pria tsb, akhirnya diapun setuju utk ikut dgn peis tsb.. singkat crta, plngnya tuara melihat air terjun dan pria tsb melihat klu tiara menyukai air terjun tsb, lalu dia bertanys kpd tiiara, apakah tiara mau mampir ke air terjun tsb, tiarapun menganggukksn kwpalanya. air terjuntsb sgt jernih, tiarapun lgsg terjun ke air tsb srnentara pria tsb hanya menunggu diatas batu,. kemudian tiara menarik tgn pria tdb, akhirnya mrkapun sm2 teenun didlm air dan kemudian mrka melamukan hubungan intim didlm air tsb, hingga tiarapun hsmil. sementara dirmh, suaminya kehilangan tiara, bingung setengah mati, kemudian dia menelpin ibu dan nenek tiara, mrkapun semua pada bingung. entah bagaimana vrtanya, tiara smpi kermh neneknya yg jauhnya 23 km tsb.dlm keadaanbasah kuyub sekujur tubuhnya... kemudian tiara dibawa kermh sakit dan tiara dinyatakan sedang hamil 3 minggu, anaknya kembar pula.. ternyata tiara sudah menghilang selama 8 hari , pdhal tiara pergi cuma sbntr saja resanya...anehnya suami tiara bermimpi klh tiara dibawa oleh pria tampan tsb entah kmna.... ada ksin kuning dsn jijau ktnya.. tiarra terdiam krna tkt mau barterus tersng  kpd suaminta... 
akhirnya anak kembar tiarapun lahir, wajahnya mirip sosok pria tampan tsb. yg ssya herankan wktu tiara keguguran  3x tsb, kok anaknya bisa hidup ya? pdhal kan blm wktunya lahir? 
semoga tiara bisa hidup bahagia bersama suami tercintanya dan selalu dlm lindungan allaah swt.... aamiin yaa rabbal aalaamiin.... 🤲🙏🙏😊
buat nak nadia beserta team dan klrga, tetap semangat ya, diberi kesehata yg baik, dibukakan pi tu rezeki ygluas dsn srlalu dlm lindungan allaah swt.... aamiin yaa rabbal aalaamiin..... 🤲🙏💪😊"
